Area,Bedrooms,Age,DistanceCity,Price
1360,5,38,24,270269.9571503188
4272,1,34,5,1151488.2924657485
3592,5,30,3,1240358.6070014902
966,4,11,11,284430.0972914913
4926,1,30,2,1413077.7312127284
3944,1,25,21,934140.7469848412
3671,5,43,7,1176419.9690303449
3419,5,31,14,1151212.5632733156
630,3,48,17,38286.791743436785
2185,5,48,2,740571.9324242992
1269,1,49,3,272415.66486595327
2891,5,2,22,857551.6399712798
2933,3,19,5,973346.8270183585
1684,2,46,19,345193.40508076036
3885,4,1,28,1049487.3023034981
4617,1,38,28,1071815.5550498555
3404,3,44,16,889328.8425869443
974,4,12,17,306289.1145213247
1582,5,28,17,552789.1594030567
3058,5,5,9,1119781.4491825534
2547,2,41,14,663668.4654874863
3247,5,7,24,941146.5780480242
1475,4,25,21,346882.0623537109
2306,3,9,9,662871.5279046751
689,2,37,22,7351.950397582405
3234,4,43,27,780133.902861847
3505,3,0,2,1230871.0816750373
2399,4,1,20,647633.6621125786
1767,5,42,1,723177.119420431
2028,4,34,6,608433.1534581408
3702,2,0,17,989300.3026571864
4056,4,3,24,1132170.7507491806
4390,1,2,16,1159939.4011834853
1146,5,23,2,582218.4088130078
3388,4,16,16,1021055.7636939705
2935,3,26,18,856415.8782844003
1100,5,24,17,364934.4564154373
2863,3,19,7,861175.5698955245
2561,2,38,26,462282.65042763716
741,1,43,9,77650.31762652317
2541,4,29,12,753020.8808116644
3324,5,5,27,991899.6706126824
3112,4,6,15,1021217.2642539669
1863,4,26,8,696638.3051750986
1978,5,4,29,568662.2726762277
3056,1,25,18,688855.7846030139
1275,1,35,22,176404.41139479904
4514,2,10,20,1268674.5576405814
534,5,41,20,86864.59782390374
3652,5,22,26,1052194.246837043
2455,3,2,4,815853.6835411023
2085,3,49,1,624212.8585497561
4443,3,14,13,1372948.8170283474
3573,1,43,9,951957.3593702655
1521,2,24,2,538492.1253598527
3961,2,15,1,1240159.629702559
3113,4,31,26,781124.6084660027
4343,2,25,6,1198402.8005941636
2000,3,4,22,607579.7594244172
661,5,9,15,334610.7320094593
4797,4,10,18,1396694.3503553083
2481,1,32,12,496556.7681782398
1495,2,27,2,526983.7470754343
3842,5,15,22,1169406.0420360127
4298,3,43,3,1364849.4438377183
1775,1,1,27,210618.92230917487
1516,1,28,4,345232.06673306995
837,2,43,26,10714.435108676282
1378,5,1,23,398142.7366960462
1576,3,21,13,425792.5138609922
4493,3,10,5,1327973.045609573
879,3,34,13,193940.5458223245
992,3,31,1,385929.1261382363
2562,2,36,23,600134.7030119437
4384,2,46,21,1133205.0155835927
564,5,4,18,209452.4498107058
3068,4,26,6,1048224.8550094927
2527,2,11,4,775269.600866193
3195,3,7,4,1149622.2751881247
1995,5,2,5,812044.9838743019
891,3,31,1,342455.8802505097
4974,2,21,26,1291530.002329839
4061,5,27,10,1271001.7431316613
2778,3,25,8,891608.4430650016
3599,4,44,21,943162.4619702572
700,1,20,22,52927.49075079583
3604,1,10,17,951637.021600812
2954,3,26,17,773690.7677863146
4145,1,42,8,1150121.16759764
1304,4,6,14,406240.75502631266
3231,4,37,26,797646.9091100887
3273,3,42,25,807210.9954894511
2070,4,8,21,610317.4504568981
3190,1,46,28,612504.8691419062
4340,3,47,16,1174387.1656004451
1528,1,33,12,303222.1281427462
1002,4,42,9,355721.640841097
4993,4,25,4,1640543.3968811496
1370,5,5,4,638921.9129303893
4988,2,11,21,1331913.0735563692
706,2,36,18,166404.8705093303
1984,3,49,21,324244.2049309056
1363,1,43,17,156743.65092616933
3290,2,39,16,874429.1008959997
1063,3,0,9,455008.86893165635
4691,4,34,26,1295529.3372367464
2257,2,3,16,595195.2556318579
2178,1,39,23,454347.53934613883
3742,5,49,28,969926.2368608627
1559,5,7,25,412925.58964863804
2222,2,1,2,784781.5534992324
3814,5,11,6,1384998.0808550855
3657,3,7,24,914356.0585031431
3125,1,40,18,810240.9481888043
3229,4,30,5,1103977.991548461
2097,1,20,18,500257.1316475058
3560,4,30,5,1201140.2772038102
3193,5,31,23,948420.3655815814
4127,3,19,27,1102680.5982917603
1863,4,46,1,644615.981303563
2481,5,18,28,615400.9533281667
2163,4,46,1,701723.4440927202
2029,2,29,1,654347.4432861423
2538,1,8,12,680078.6737515832
3802,3,19,12,1094311.1556982899
2737,5,17,5,956995.3227849224
1806,3,47,12,475620.86669434234
4529,1,12,21,1142238.225726063
3175,4,29,29,767280.1180980646
1782,4,46,13,553320.1532816349
1209,3,28,10,305448.6277648356
4913,4,29,14,1474266.4948718245
4248,4,46,17,1237392.651255015
1163,4,4,25,295106.8853143408
2498,2,3,10,724607.6455061575
3945,5,49,16,1254730.5702036833
4243,5,45,8,1396613.1955729064
1995,1,30,12,561149.8756055903
3804,4,41,13,1105095.610726478
4263,3,32,6,1313460.6718457937
2353,4,48,16,700550.1732602877
1791,1,0,18,504809.5514712648
4081,4,18,22,1219535.804505001
3957,2,14,24,1000038.9875077722
2136,1,1,21,480941.0892249703
4196,5,3,3,1472398.8837550804
3499,5,2,9,1212072.803361804
3652,2,22,9,1047109.9967362811
1198,5,39,17,370046.36529591575
2660,2,42,7,594271.924752823
4597,5,5,21,1360421.2681116327
1354,5,29,12,514991.192447862
3974,4,22,1,1439731.4815725829
2207,1,40,25,394115.2046303
3277,5,48,7,1047858.4488023602
2233,1,14,5,583741.7157201837
4010,1,44,20,927003.4553524622
702,5,46,1,356180.9460174238
3755,1,49,21,884077.1497108372
4718,2,16,24,1207026.8020189318
4996,3,8,9,1541567.2256532148
1266,2,1,16,344460.3718774078
4889,5,49,8,1587111.5509992498
2827,2,40,2,858701.2412080257
3431,3,28,6,1041576.3549111153
697,2,41,16,-5115.4733008736075
2430,1,45,23,443827.3320694348
4082,5,30,24,1215952.3777432279
1108,1,31,23,100909.64318406911
3772,1,0,26,946000.9662234235
1647,5,29,1,716564.9548526993
4782,5,27,21,1483271.472114489
3897,4,25,5,1298763.3140233757
3011,3,17,13,910399.7219005091
2294,1,0,28,330484.7176721083
1159,1,40,3,316363.85455551906
